"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414655","1.19","4400","","","","0"
"2006/2007","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427112","1.1","3373","","","","0"
"2006/2007","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427121","1.2","3991","","","","0"
"2006/2007","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427122","1.3","4336","","","","0"
"2006/2007","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427123","1.4","4041","","","","0"
"2006/2007","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427124","1.5","7155","","","","0"
"2006/2007","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427125","1.6","4195","","","","0"
"2006/2007","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427126","1.7","4270","","","","0"
"2006/2007","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427127","1.8","4650","","","","0"
"2006/2007","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427128","1.9","4943","","","","0"
"2006/2007","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427113","1.10","3839","","","","0"
"2006/2007","Canada","2016A000011124","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427114","1.11","3869","","","","0"
"2006/2007","Canada","2016A000011124","Medicine","Current dollars","75","units","0","v62427116","1.13","9659","","","","0"
"2006/2007","Canada","2016A000011124","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427120","1.17","4996","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Total, field of study","Current dollars","75","units","0","v1001414656","2.19","2633","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427161","2.1","2550","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427166","2.2","2550","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427167","2.3","2550","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427168","2.4","2550","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Business, management and public administration","Current dollars","75","units","0","v62427169","2.6","2550","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Current dollars","75","units","0","v62427170","2.7","2550","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427171","2.8","2550","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Engineering","Current dollars","75","units","0","v62427172","2.9","2550","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427162","2.13","6250","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427165","2.17","2550","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Total, field of study","Current dollars","75","units","0","v1001414657","3.19","4920","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427173","3.1","4920","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427180","3.2","4920","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427182","3.4","4920","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Business, management and public administration","Current dollars","75","units","0","v62427184","3.6","4920","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427185","3.7","4920","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427186","3.8","4920","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Engineering","Current dollars","75","units","0","v62427187","3.9","4920","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427179","3.17","4920","","","","0"
"2006/2007","Nova Scotia","2016A000212","Total, field of study","Current dollars","75","units","0","v1001414658","4.19","6422","","","","0"
"2006/2007","Nova Scotia","2016A000212","Education","Current dollars","75","units","0","v62427188","4.1","6685","","","","0"
"2006/2007","Nova Scotia","2016A000212","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427196","4.2","6010","","","","0"
"2006/2007","Nova Scotia","2016A000212","Humanities","Current dollars","75","units","0","v62427197","4.3","5930","","","","0"
"2006/2007","Nova Scotia","2016A000212","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427198","4.4","6130","","","","0"
"2006/2007","Nova Scotia","2016A000212","Law","Current dollars","75","units","0","v62427199","4.5","11666","","","","0"
"2006/2007","Nova Scotia","2016A000212","Business, management and public administration","Current dollars","75","units","0","v62427200","4.6","5980","","","","0"
